area,month,orientation,inclination,c1
H1b,Mars,Ouest,>=75°,0.67
H1b,Mars,Ouest,75°> >=25°,1.46
H1b,Mars,Ouest,<25°,0.94
H1b,Mars,Nord,>=75°,0.38
H1b,Mars,Nord,75°> >=25°,0.81
H1b,Mars,Nord,<25°,0.91
H1b,Mars,Est,>=75°,0.59
H1b,Mars,Est,75°> >=25°,1.34
H1b,Mars,Est,<25°,1.04
H1b,Mars,Horizontal,,1.04
H1b,Avril,Sud,>=75°,1
H1b,Avril,Sud,75°> >=25°,2.39
H1b,Avril,Sud,<25°,1.53
H1b,Avril,Ouest,>=75°,0.91
H1b,Avril,Ouest,75°> >=25°,2
H1b,Avril,Ouest,<25°,1.42
H1b,Avril,Nord,>=75°,0.49
H1b,Avril,Nord,75°> >=25°,1.16
H1b,Avril,Nord,<25°,1.33
H1b,Avril,Est,>=75°,0.76
H1b,Avril,Est,75°> >=25°,1.77
H1b,Avril,Est,<25°,1.42
H1b,Avril,Horizontal,,1.44
H1b,Mai,Sud,>=75°,1
H1b,Mai,Sud,75°> >=25°,2.8
H1b,Mai,Sud,<25°,2.08
H1b,Mai,Ouest,>=75°,1.23
H1b,Mai,Ouest,75°> >=25°,2.7
H1b,Mai,Ouest,<25°,2
H1b,Mai,Nord,>=75°,0.66
H1b,Mai,Nord,75°> >=25°,1.72
H1b,Mai,Nord,<25°,1.87
H1b,Mai,Est,>=75°,0.99
H1b,Mai,Est,75°> >=25°,2.36
H1b,Mai,Est,<25°,1.92
H1b,Mai,Horizontal,,1.95
H1b,Juin,Sud,>=75°,1
H1b,Juin,Sud,75°> >=25°,2.88
H1b,Juin,Sud,<25°,2.21
H1b,Juin,Ouest,>=75°,1.22
H1b,Juin,Ouest,75°> >=25°,2.78
H1b,Juin,Ouest,<25°,2.17
H1b,Juin,Nord,>=75°,0.78
H1b,Juin,Nord,75°> >=25°,2.07
H1b,Juin,Nord,<25°,2.07
H1b,Juin,Est,>=75°,1.11
H1b,Juin,Est,75°> >=25°,2.61
H1b,Juin,Est,<25°,2.1
H1b,Juin,Horizontal,,2.11
H1b,Juillet,Sud,>=75°,1
H1b,Juillet,Sud,75°> >=25°,2.81
H1b,Juillet,Sud,<25°,2.37
H1b,Juillet,Ouest,>=75°,1.16
H1b,Juillet,Ouest,75°> >=25°,2.64
H1b,Juillet,Ouest,<25°,2.29
H1b,Juillet,Nord,>=75°,0.74
