inertie,altitude,month,zone_climatique,E-pv(kWh/m²),Text(°C),E(kWh/m²),Nref(19°C),DH19(°Ch),DH14(°Ch),Nref(21°C),DH21(°Ch),Tefs(°C),Textmoy_clim(°C)Tcons=26°C,Textmoy_clim(°C)Tcons=28°C,E_fr(kWh/m²)Tcons=26°C,E_fr(kWh/m²)Tcons=28°C,Nref(26°C),Nref(28°C),DH26(°Ch),DH28(°Ch)
Lourde ou Très lourde,8000,Février,H1a,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mars,H1a,123.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Avril,H1a,169.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Mai,H1a,208.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Juin,H1a,217.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Juillet,H1a,221.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Août,H1a,173.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Septembre,H1a,163.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Octobre,H1a,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Novembre,H1a,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lourde ou Très lourde,8000,Décembre,H1a,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Janvier,H1b,41.5,4.7,31.13,744,10180.7,6952.7,744,11668.7,6.9,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Février,H1b,66.8,5.2,45.92,672,8874.7,5962.7,672,10218.7,6.1,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mars,H1b,99,7.3,61.88,737,8207.7,5001.6,744,9689.8,6.4,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Avril,H1b,152.7,10.3,79.71,664,5914.4,3126.6,700,7285,7.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Mai,H1b,182.7,14.4,86.58,558,3555.9,1349.8,631,4759.3,11.3,27.3,28.5,5.62,1.77,20,5,20.1,2.6
Légère ou Moyenne,400,Juin,H1b,215.6,13.6,1.39,24,104.7,27.2,24,152.7,14.9,28.3,29.8,23.12,12.04,189,39,188.5,72
Légère ou Moyenne,400,Juillet,H1b,227.4,0,0,0,0,0,0,0,16.9,28.9,29.8,43.62,30.73,389,90,388.8,163.6
Légère ou Moyenne,400,Août,H1b,188.8,0,0,0,0,0,0,0,17.3,28.9,30,22.2,14.9,200,44,199.8,88
Légère ou Moyenne,400,Septembre,H1b,148.7,14.5,3.04,47,215.8,46.4,48,311.6,16.8,27.3,28.2,3.25,0.46,11,1,10.8,0.2
Légère ou Moyenne,400,Octobre,H1b,101.5,12.3,61.93,568,4109.7,1704.6,603,5278.8,14.6,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Novembre,H1b,46.5,6.6,33.95,720,8473.8,5382.8,720,9913.8,10.5,0,0,0,0,0,0,0,0
Légère ou Moyenne,400,Décembre,H1b,47.9,3.8,37.72,744,10452.5,7584.5,744,11940.5,7.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Janvier,H1b,41.5,4.7,31.13,744,10180.7,6952.7,744,11668.7,6.9,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Février,H1b,66.8,5.2,45.92,672,8874.7,5962.7,672,10218.7,6.1,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mars,H1b,99,7.3,61.88,737,8207.7,5001.6,744,9689.8,6.4,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Avril,H1b,152.7,10.3,79.71,664,5914.4,3126.6,700,7285,7.6,0,0,0,0,0,0,0,0
Lourde ou Très lourde,400,Mai,H1b,182.7,14,48.02,310,2174.8,887.6,338,2827.6,11.3,27.3,28.5,5.62,1.77,20,5,20.1,2.6
Lourde ou Très lourde,400,Juin,H1b,215.6,0,0,0,0,0,0,0,14.9,28.3,29.8,23.12,12.04,189,39,188.5,72
